household
aa batteries
air freshening spray
all-purpose cleaner like lysol or mr. clean
aluminum foil
antibacterial spray
baking parchment
batteries
bleach
brush
carpet cleaner
cleaning cloth
cleaning gloves
cling film
cotton swabs
dish detergent / pods
dish soap
dishwasher cleaner
dishwasher detergent
dishwasher pods
dishwasher salt
dishwasher tablets
dishwashing soap
drain cleaner
dryer sheets
dusting spray
dustpan
fabric conditioner
fabric softener
feather duster
floor cleaner
freezer bags
glass cleaner
glass cleaner like windex
gloves
greaseproof paper
hand sanitizer
hand soap
kitchen roll
launder detergent
laundry bleach
laundry detergent
light bulbs
lightbulbs
limescale remover
lint roller
liquid hand soap
long matches
microfibre cloth
mop
multipurpose cleaner
napkin
oven cleaner
paper towels
parchment paper
plastic wrap
polishing cloth
q-tips
recycling bags
rubber gloves
sandwich bags
saran wrap
shower cleaner
shower scrub
silver polish
sponge
stain remover
stainless steel cleaner
swiffer with dry and wet pads (or a mop and a bucket)
tin foil
tissue
toilet bleach
toilet bowl cleaner
toilet brush
toilet cleaner
toilet paper
trash bags
washing detergent
wax paper
white wine vinegar
window cleaner
wipe
wood floor cleaner (if necessary)
wood polish spray
ziploc bags
