text,label,,
air wick scented oil refills,5,,
alcan foil,5,,
always pads,5,,
ana sparkling water,2,,
anchor's bay basa fillets seafood medley or cooked clam meat,1,,
arm nammer toothpaste,5,,
armstrong cheese bars,4,,
asparagus,0,,
astro yogurt,4,,
atlantic salmon fillets,1,,
avocados,0,,
baby or shanghai bokchoy,0,,
baby spinach or spring mix,0,,
bagel bites,3,,
bagels,3,,
baking powder,2,,
batiste aveeno or ogx hair care,5,,
becel margarine,2,,
belleisle coleslaw,2,,
black diamond process cheese product,4,,
black diamond slices processed cheese product,4,,
black diamond stringable cheese,4,,
black plums or plumcots,0,,
blue menu cheese slices,4,,
blue menu coat milk cheese,4,,
blue menu egg whites,1,,
blueberries,0,,
blueberries,0,,
boneless blade steak,1,,
boneless skinless chicken breast,1,,
boneless skinless chicken thighs,1,,
boston living lettuce,0,,
bounty,5,,
breyers creamery style ice cream or frozen dessert,4,,
broccoli,0,,
broccoli crowns or bunch spinach,0,,
brussels sprouts,0,,
butcher s choice sausage,1,,
butter puff or phyllo pastry,3,,
cadbury family chocolate bar,2,,
cadbury family chocolate bars,2,,
cantaloupe,0,,
carbon steel wok,5,,
cashew snacks,2,,
cauliflower,0,,
cavendish premium fries,2,,
celery,0,,
chapman's premium ice cream,4,,
cheemo perogies,2,,
cheese,3,,
chicken breast fillet,1,,
chicken drumsticks or thighs,1,,
chicken legs,1,,
christie chips ahoy fudgee o or nutter butter cookies,3,,
christie oreo cookies,3,,
christie peek freans cookies,3,,
christie ritz or crispers,2,,
clover leaf flaked pink salmon,1,,
clover leaf light tuna,1,,
clover leaf white tuna,1,,
coca cola or canada dry soft drinks,2,,
coca-cola canada dry or pepsi soft drinks,2,,
cocoa,2,,
colgate premium toothpaste,5,,
colgate toothpaste,5,,
cookie sheet,5,,
cooks portios aabrtcanuck pate jambonneau,1,,
country harvest bread,3,,
country harvest or d'italiano bread,3,,
cracker barrel cheese slices,4,,
cranberries or sultana raisins,2,,
crisco shortening or tenderflake lard,2,,
crystal light or kool aid drink mixes,2,,
cup noodles,2,,
d'italiano bread,3,,
d'taliano bread,3,,
dairyland sour cream,4,,
danone activia,4,,
danone activia yogurt,4,,
danone go activia smoothie or oikos drink,4,,
danone go or activia smoothie,4,,
danone oikos or light free,4,,
dare breton vinta veggie crisps bold n baked crackers or bear paws snacks,2,,
donut house timothy's world coffee or van houtte coffee pods,2,,
dove bar soap,5,,
dr oetker ristorante or casa di mama rizza,2,,
ed smith pie filling,2,,
english cucumbers,0,,
entrees or swanson family skillets,5,,
everyday essentials lunch or buffet napkins,5,,
extra virgin olive oil,2,,
facial tissues,5,,
farmer s marke mini carrots,0,,
farmer s market sweet corn,0,,
farmer's market bartlett pears,0,,
farmer's market blue plums,0,,
farmer's market carrots or yellow onions,0,,
farmer's market grape tomatoes,0,,
farmer's market lemons,0,,
farmer's market loaf cakes,3,,
farmer's market mini carrots,0,,
farmer's market muffins,3,,
farmers market sweet corn,0,,
farmers marketm muffins,3,,
field tomatoes,0,,
finish dishwasher detergent tabs,5,,
folgers roast and ground coffee,2,,
franco american gravy,2,,
frank's redhot sauce,2,,
french's ketchup,2,,
french's mustard,2,,
frozen dessert novelties,2,,
frozen grade a or utility turkeys,1,,
frozen vegetables,0,,
fruitopia nestea or peach tea beverages,2,,
garden salad,0,,
general mills cereal family size,2,,
ginger root,0,,
go crab flavoured flake style surimi,2,,
goat milk cheese,4,,
gravy seasoning or cheese sauce mix,2,,
green beans,0,,
green cabbage,0,,
green onions,0,,
green or red seedless grapes,0,,
green or wax beans,0,,
green red leaf or romaine lettuce laitue,0,,
green zucchini,0,,
grimm's submarine or pizza pack,2,,
haagen dazs tubs,4,,
haddock fillets,1,,
hami melons,0,,
heinz ketchup,2,,
hellmann's mayonnaise,2,,
hershey's chipits chocolate chips,2,,
hershey's chocolate pouches,2,,
hershey's twizzlers,2,,
hersheys chocolate pouches,2,,
hersheys multipagk chocolate bars,2,,
high liner battered fish,1,,
high liner pan sear signature fish shrimp or bites,1,,
holiday luncheon meat,1,,
hostess snack cakes,3,,
hummus,2,,
hummus or dips,2,,
iceberg lettuce,0,,
inside round roast beef,1,,
italpasta pasta,2,,
jack link's jerky,1,,
jamieson vitamins c or d,5,,
janes boneless chicken breast bites or fillets,1,,
johnsonville dinner sausages breakfast sausages or rounds,1,,
jumbo pumpkins,0,,
kale,0,,
kellogg's family size cereal,2,,
kellogg's pop tarts,2,,
kellogg's rice krispies bars,2,,
kellogg's special k kashi or vector trail mix bars,2,,
kellogg's eggo waffles,2,,
kellogg's rice krispies,2,,
kettle brand potato chips,2,,
kiwi,0,,
klondike bars or sandwiches,2,,
kraft cheez whiz,4,,
kraft peanut butter,2,,
kraft salad dressing,2,,
kraft stove top stuffing mix,2,,
lactantia or dairyland whipping cream,4,,
lactose free yogurt,4,,
lay's family size potato chips,2,,
lean cuisine stouffer's or bistro entrees,2,,
lean ground beef,1,,
lean ground pork,1,,
leclerc celebration cookies,3,,
leclerc go pure bars,2,,
lemons,0,,
lever bar soap,5,,
life brand toothbrush or dental floss,5,,
lindt excellence chocolate bars,2,,
lipton or knorr soup mix,2,,
listerine classic mouthwash,5,,
little debbie snack cakes,2,,
little gems mini mixed red or yellow potatoes,0,,
lou's kitchen entrees,2,,
lysol wipes,5,,
mangoes,0,,
maple leaf natural selections deli meat,1,,
maple leaf or schneiders ham,1,,
maple leaf prime boneless skinless chicken breast,1,,
mars chocolate multipacks,2,,
mars nestle hershey's or cadbury chocolate singles,2,,
marzano tomatoes,0,,
mastro capocollo or san daniele mortadella,1,,
mastro prosciutto cotto capocollo or san daniele mortadella,1,,
mastro salami,1,,
maxwell house roast and ground coffee,2,,
mccain fries or hashbrowns,2,,
mccain superfries or speciality potatoes,2,,
meat pies,3,,
monster or reign energy drinks,2,,
motts clamato or garden,2,,
mr clean cleaner,5,,
nature valley bars betty crocker or mott's fruit snacks,2,,
nature valley sweet salty bars,2,,
navel oranges,0,,
neilson trutaste milk,2,,
nestle chocolate singles,2,,
nestle mini chocolate box,2,,
nestle mini chocolate treats box,2,,
nutella hazelnut spread,2,,
nutrition firstdry dog food,5,,
oasis juice del monte nectar arizona iced tea,2,,
ocean spray cranberry cocktail,2,,
old el paso dinner kits,2,,
olive oil,2,,
orange or green field peppers,0,,
orchard run mcintosh or royal gala apples product,0,,
orchard run paula red apples,0,,
organic broccoli,0,,
organic cauliflower,0,,
organics baby food pouches,2,,
organics baby spinach or field greens,0,,
organics black green or red seedless grapes,0,,
organics carrots,0,,
organics coronation grapes,0,,
organics frozen fruit,0,,
organics lemons,0,,
organics romaine hearts,0,,
organics tomatoes on the vine,0,,
organics whole cremini or white mushrooms,0,,
pampers or huggies club pack plus diapers,5,,
